Location,Place_to_Go,Temperature
Manali,Hill Station,12.5
Ooty,Hill Station,36.4
Bangalore,Water Park,11.9
Manali,Hill Station,13.6
Goa,Beach,21.2
Kolkata,Water Park,26.0
Hyderabad,Water Park,38.3
Hyderabad,Water Park,34.5
Bangalore,Water Park,38.2
Chennai,Beach,25.8
Bangalore,Water Park,23.0
Shimla,Hill Station,25.1
Manali,Hill Station,39.4
Shimla,Hill Station,32.5
Bikaner,Desert,22.2
Ooty,Hill Station,28.9
Jaipur,Desert,17.0
Manali,Hill Station,16.0
Darjeeling,Hill Station,22.7
Jaisalmer,Desert,22.5
Manali,Hill Station,23.1
Shimla,Hill Station,23.9
Kolkata,Water Park,30.7
Jaisalmer,Desert,26.0
Jaisalmer,Desert,12.5
Darjeeling,Hill Station,19.3
Delhi,Water Park,13.0
Kolkata,Water Park,12.4
Darjeeling,Hill Station,26.8
Kolkata,Water Park,13.4
Darjeeling,Hill Station,26.4
Delhi,Water Park,30.8
Jaisalmer,Desert,23.1
Kutch,Desert,33.8
Bikaner,Desert,25.0
Chennai,Beach,33.2
Jaisalmer,Desert,18.4
Hyderabad,Water Park,15.8
Goa,Beach,16.8
Kolkata,Water Park,26.8
Hyderabad,Water Park,31.4
Chennai,Beach,35.8
Jaipur,Desert,32.9
Jaisalmer,Desert,13.5
Puri,Beach,14.2
Delhi,Water Park,17.6
Bangalore,Water Park,18.5
Manali,Hill Station,33.2
Jaipur,Desert,30.2
Chennai,Beach,22.1
Shimla,Hill Station,26.5
Ooty,Hill Station,14.4
Jaipur,Desert,37.6
Puri,Beach,25.9
Delhi,Water Park,17.2
Ooty,Hill Station,17.7
Jaipur,Desert,10.6
Jaipur,Desert,17.3
Jaisalmer,Desert,33.3
Ooty,Hill Station,20.3
Hyderabad,Water Park,34.6
Kutch,Desert,22.6
Hyderabad,Water Park,12.6
Shimla,Hill Station,18.0
Bikaner,Desert,24.5
Manali,Hill Station,13.5
Goa,Beach,29.3
Bangalore,Water Park,17.2
Manali,Hill Station,31.3
Jaisalmer,Desert,28.5
Delhi,Water Park,17.4
Puri,Beach,22.8
Jaisalmer,Desert,19.1
Darjeeling,Hill Station,19.2
Chennai,Beach,23.7
Shimla,Hill Station,31.6
Bangalore,Water Park,20.9
Bangalore,Water Park,29.2
Jaisalmer,Desert,33.1
Puri,Beach,30.6
Ooty,Hill Station,32.3
Hyderabad,Water Park,23.3
Goa,Beach,34.4
Ooty,Hill Station,32.3
Ooty,Hill Station,23.3
Kolkata,Water Park,13.1
Delhi,Water Park,13.8
Ooty,Hill Station,34.9
Bangalore,Water Park,22.1
Mumbai,Beach,24.8
Jaisalmer,Desert,17.0
Kolkata,Water Park,21.0
Puri,Beach,16.5
Kolkata,Water Park,21.0
Puri,Beach,22.7
Jaisalmer,Desert,11.3
Kolkata,Water Park,37.9
Puri,Beach,36.6
Darjeeling,Hill Station,12.9
Darjeeling,Hill Station,16.0
Puri,Beach,21.7
Hyderabad,Water Park,15.5
Jaipur,Desert,33.3
Hyderabad,Water Park,38.7
Manali,Hill Station,17.0
Jaipur,Desert,28.2
Puri,Beach,13.8
Darjeeling,Hill Station,21.1
Shimla,Hill Station,24.2
Manali,Hill Station,17.7
Jaisalmer,Desert,30.1
Kutch,Desert,38.0
Bikaner,Desert,21.6
Jaipur,Desert,31.0
Kutch,Desert,16.2
Shimla,Hill Station,19.8
Ooty,Hill Station,27.9
Puri,Beach,13.7
Jaipur,Desert,15.9
Jaisalmer,Desert,39.6
Darjeeling,Hill Station,24.7
Mumbai,Beach,25.8
Kutch,Desert,20.0
Goa,Beach,21.0
Bikaner,Desert,12.1
Jaisalmer,Desert,32.0
Jaipur,Desert,19.1
Jaisalmer,Desert,29.3
Bikaner,Desert,17.5
Ooty,Hill Station,24.7
Manali,Hill Station,18.4
Goa,Beach,20.9
Manali,Hill Station,34.2
Hyderabad,Water Park,21.5
Delhi,Water Park,26.2
Kutch,Desert,22.6
Mumbai,Beach,16.3
Mumbai,Beach,22.9
Kolkata,Water Park,32.3
Kutch,Desert,23.0
Jaisalmer,Desert,29.2
Chennai,Beach,34.2
Ooty,Hill Station,26.0
Hyderabad,Water Park,26.8
Delhi,Water Park,22.6
Hyderabad,Water Park,38.5
Hyderabad,Water Park,32.7
Mumbai,Beach,31.5
Puri,Beach,24.7
Chennai,Beach,13.2
Kolkata,Water Park,28.7
Mumbai,Beach,34.5
Bangalore,Water Park,34.5
Mumbai,Beach,20.5
Goa,Beach,18.6
Jaipur,Desert,39.3
Jaisalmer,Desert,36.9
Delhi,Water Park,39.4
Kutch,Desert,15.9
Jaisalmer,Desert,39.5
Hyderabad,Water Park,14.1
Mumbai,Beach,19.0
Bikaner,Desert,13.6
Shimla,Hill Station,27.8
Bangalore,Water Park,29.8
Manali,Hill Station,20.1
Kolkata,Water Park,34.6
Jaisalmer,Desert,18.4
Shimla,Hill Station,37.0
Shimla,Hill Station,20.6
Puri,Beach,33.5
Manali,Hill Station,31.1
Jaipur,Desert,24.7
Chennai,Beach,31.6
Hyderabad,Water Park,35.6
Kolkata,Water Park,38.1
Jaipur,Desert,24.3
Puri,Beach,15.9
Bikaner,Desert,28.1
Darjeeling,Hill Station,40.0
Darjeeling,Hill Station,18.8
Manali,Hill Station,23.6
Kolkata,Water Park,15.6
Bangalore,Water Park,32.5
Puri,Beach,29.4
Puri,Beach,36.0
Jaipur,Desert,38.2
Ooty,Hill Station,32.8
Bangalore,Water Park,26.7
Puri,Beach,33.1
Bangalore,Water Park,26.8
Mumbai,Beach,27.0
Darjeeling,Hill Station,12.7
Hyderabad,Water Park,39.1
Kutch,Desert,14.5
Jaipur,Desert,10.1
Kolkata,Water Park,27.7
Kolkata,Water Park,25.3
Ooty,Hill Station,18.9
Kutch,Desert,11.6
Kutch,Desert,27.3
Darjeeling,Hill Station,29.5
Kolkata,Water Park,32.4
Manali,Hill Station,31.2
Ooty,Hill Station,12.6
Goa,Beach,34.9
Shimla,Hill Station,12.1
Shimla,Hill Station,16.5
Ooty,Hill Station,15.9
Shimla,Hill Station,27.8
Darjeeling,Hill Station,27.1
Bangalore,Water Park,27.9
Jaipur,Desert,36.1
Jaipur,Desert,34.0
Chennai,Beach,34.0
Jaipur,Desert,25.0
Jaipur,Desert,21.8
Hyderabad,Water Park,21.3
Chennai,Beach,11.1
Jaipur,Desert,12.5
Puri,Beach,17.6
Puri,Beach,32.5
Delhi,Water Park,15.9
Jaipur,Desert,35.9
Ooty,Hill Station,25.1
Darjeeling,Hill Station,19.5
Darjeeling,Hill Station,34.4
Bangalore,Water Park,31.5
Ooty,Hill Station,11.5
Darjeeling,Hill Station,22.5
Bikaner,Desert,25.8
Darjeeling,Hill Station,20.1
Jaipur,Desert,28.2
Kolkata,Water Park,36.5
Kolkata,Water Park,16.0
Ooty,Hill Station,31.2
Ooty,Hill Station,37.5
Chennai,Beach,37.7
Bangalore,Water Park,23.3
Ooty,Hill Station,13.7
Mumbai,Beach,28.6
Ooty,Hill Station,19.6
Shimla,Hill Station,28.7
Jaipur,Desert,30.7
Jaisalmer,Desert,23.5
Kolkata,Water Park,25.0
Manali,Hill Station,15.9
Bangalore,Water Park,16.5
Mumbai,Beach,23.4
Shimla,Hill Station,18.8
Goa,Beach,39.2
Darjeeling,Hill Station,33.2
Kolkata,Water Park,33.1
Bikaner,Desert,34.1
Jaipur,Desert,20.1
Jaisalmer,Desert,36.4
Puri,Beach,21.1
Manali,Hill Station,34.7
Chennai,Beach,27.9
Jaipur,Desert,24.3
Mumbai,Beach,39.0
Ooty,Hill Station,17.7
Goa,Beach,12.8
Mumbai,Beach,39.6
Hyderabad,Water Park,27.0
Ooty,Hill Station,17.2
Delhi,Water Park,10.5
Bikaner,Desert,38.5
Ooty,Hill Station,11.6
Shimla,Hill Station,30.2
Kolkata,Water Park,15.4
Manali,Hill Station,35.9
Kutch,Desert,31.0
Goa,Beach,24.1
Bikaner,Desert,15.6
Bikaner,Desert,28.4
Shimla,Hill Station,19.7
Darjeeling,Hill Station,29.9
Bikaner,Desert,21.0
Kolkata,Water Park,34.8
Kolkata,Water Park,28.3
Jaisalmer,Desert,32.1
Hyderabad,Water Park,21.9
Kutch,Desert,22.3
Mumbai,Beach,19.3
Jaipur,Desert,13.1
Bikaner,Desert,22.5
Mumbai,Beach,13.0
Chennai,Beach,32.4
Ooty,Hill Station,35.3
Kolkata,Water Park,12.6
Delhi,Water Park,11.9
Shimla,Hill Station,25.6
Bikaner,Desert,19.2
Shimla,Hill Station,35.2
Shimla,Hill Station,15.0
Darjeeling,Hill Station,38.1
Goa,Beach,25.8
Mumbai,Beach,28.4
Puri,Beach,28.4
Hyderabad,Water Park,24.1
Ooty,Hill Station,36.6
Bangalore,Water Park,24.9
Jaipur,Desert,20.8
Hyderabad,Water Park,20.0
Bangalore,Water Park,34.3
Delhi,Water Park,15.1
Manali,Hill Station,21.8
Kutch,Desert,30.5
Darjeeling,Hill Station,36.5
Darjeeling,Hill Station,14.9
Bikaner,Desert,21.0
Delhi,Water Park,27.2
Darjeeling,Hill Station,14.9
Manali,Hill Station,12.9
Delhi,Water Park,27.9
Darjeeling,Hill Station,35.4
Goa,Beach,34.7
Manali,Hill Station,19.5
Kutch,Desert,30.0
Puri,Beach,21.2
Goa,Beach,20.2
Puri,Beach,23.9
Jaisalmer,Desert,18.8
Kolkata,Water Park,19.6
Jaipur,Desert,22.5
Shimla,Hill Station,32.6
Shimla,Hill Station,38.4
Goa,Beach,36.0
Puri,Beach,30.7
Kolkata,Water Park,33.3
Hyderabad,Water Park,25.2
Darjeeling,Hill Station,19.9
Kolkata,Water Park,12.8
Kolkata,Water Park,17.3
Shimla,Hill Station,26.3
Kutch,Desert,25.5
Kolkata,Water Park,34.6
Delhi,Water Park,29.8
Hyderabad,Water Park,31.5
Ooty,Hill Station,36.8
Kolkata,Water Park,27.8
Mumbai,Beach,23.7
Ooty,Hill Station,28.7
Kolkata,Water Park,20.5
Jaipur,Desert,19.4
Hyderabad,Water Park,17.5
Bangalore,Water Park,31.9
Bangalore,Water Park,26.2
Darjeeling,Hill Station,29.8
Kolkata,Water Park,18.2
Delhi,Water Park,10.6
Kutch,Desert,32.7
Shimla,Hill Station,29.1
Delhi,Water Park,21.7
Jaisalmer,Desert,38.1
Kolkata,Water Park,19.2
Chennai,Beach,29.9
Bikaner,Desert,11.2
Kolkata,Water Park,23.9
Puri,Beach,17.3
Jaipur,Desert,13.1
Delhi,Water Park,14.7
Puri,Beach,21.0
Ooty,Hill Station,12.1
Chennai,Beach,17.3
Jaipur,Desert,15.9
Delhi,Water Park,22.5
Chennai,Beach,36.1
Goa,Beach,32.9
Hyderabad,Water Park,30.2
Manali,Hill Station,33.2
Darjeeling,Hill Station,14.3
Jaisalmer,Desert,18.4
Jaisalmer,Desert,29.8
Goa,Beach,25.0
Shimla,Hill Station,13.0
Jaipur,Desert,11.7
Bikaner,Desert,28.4
Shimla,Hill Station,31.6
Mumbai,Beach,22.3
Jaisalmer,Desert,19.5
Delhi,Water Park,17.1
Delhi,Water Park,15.1
Hyderabad,Water Park,16.5
Kolkata,Water Park,32.8
Goa,Beach,24.7
Delhi,Water Park,10.5
Manali,Hill Station,20.7
Shimla,Hill Station,24.2
Hyderabad,Water Park,19.0
Kutch,Desert,31.5
Shimla,Hill Station,29.7
Delhi,Water Park,23.7
Delhi,Water Park,21.4
Bangalore,Water Park,30.6
Bikaner,Desert,20.1
Darjeeling,Hill Station,29.2
Chennai,Beach,21.0
Kolkata,Water Park,25.9
Kolkata,Water Park,19.4
Kutch,Desert,32.4
Jaisalmer,Desert,27.8
Puri,Beach,20.5
Chennai,Beach,21.5
Hyderabad,Water Park,29.7
Bangalore,Water Park,35.4
Puri,Beach,26.5
Chennai,Beach,37.3
Ooty,Hill Station,19.3
Mumbai,Beach,11.4
Jaisalmer,Desert,29.7
Bangalore,Water Park,14.2
Manali,Hill Station,18.0
Puri,Beach,39.4
Kutch,Desert,33.7
Hyderabad,Water Park,24.1
Jaipur,Desert,29.7
Darjeeling,Hill Station,20.4
Shimla,Hill Station,26.3
Hyderabad,Water Park,20.3
Delhi,Water Park,13.4
Bikaner,Desert,38.7
Puri,Beach,39.3
Delhi,Water Park,20.2
Shimla,Hill Station,33.4
Jaipur,Desert,33.2
Shimla,Hill Station,17.0
Shimla,Hill Station,24.2
Bangalore,Water Park,25.1
Delhi,Water Park,19.2
Bikaner,Desert,12.5
Delhi,Water Park,28.6
Jaipur,Desert,30.4
Bangalore,Water Park,18.3
Shimla,Hill Station,21.6
Ooty,Hill Station,18.6
Hyderabad,Water Park,37.2
Bikaner,Desert,13.1
Jaipur,Desert,36.4
Kutch,Desert,21.7
Ooty,Hill Station,15.9
Puri,Beach,18.5
Puri,Beach,18.6
Manali,Hill Station,25.9
Hyderabad,Water Park,38.2
Kutch,Desert,29.5
Kolkata,Water Park,30.9
Goa,Beach,26.9
Chennai,Beach,32.4
Chennai,Beach,37.7
Delhi,Water Park,27.3
Manali,Hill Station,21.0
Kutch,Desert,19.5
Kutch,Desert,14.0
Jaipur,Desert,29.5
Puri,Beach,15.0
Delhi,Water Park,22.4
Jaipur,Desert,24.5
Shimla,Hill Station,20.5
Mumbai,Beach,13.0
Chennai,Beach,20.1
Puri,Beach,34.7
Kolkata,Water Park,13.1
Ooty,Hill Station,17.2
Chennai,Beach,17.2
Shimla,Hill Station,20.1
Bikaner,Desert,13.5
Jaipur,Desert,28.4
Goa,Beach,27.3
Manali,Hill Station,24.8
Puri,Beach,36.8
Delhi,Water Park,16.0
Jaisalmer,Desert,23.0
Ooty,Hill Station,32.6
Kolkata,Water Park,15.1
Kolkata,Water Park,32.2
Bangalore,Water Park,25.4
Mumbai,Beach,30.2
Hyderabad,Water Park,27.8
Mumbai,Beach,26.4
Hyderabad,Water Park,26.2
Puri,Beach,12.9
Chennai,Beach,39.6
Chennai,Beach,35.2
Shimla,Hill Station,35.9
Goa,Beach,32.0
Puri,Beach,15.6
Puri,Beach,24.2
Bikaner,Desert,11.1
Puri,Beach,10.3
Darjeeling,Hill Station,29.2
Kutch,Desert,25.9
Darjeeling,Hill Station,38.0
Jaisalmer,Desert,30.1
Bangalore,Water Park,16.7
Kutch,Desert,33.3
Kolkata,Water Park,39.2
Jaipur,Desert,26.6
Goa,Beach,36.4
Jaipur,Desert,13.8
Goa,Beach,22.8
Kolkata,Water Park,31.3
Puri,Beach,37.0
Manali,Hill Station,17.6
Ooty,Hill Station,31.8
Jaisalmer,Desert,17.4
Darjeeling,Hill Station,16.1
Hyderabad,Water Park,33.1
Jaipur,Desert,33.5
Delhi,Water Park,15.9
Puri,Beach,32.2
Manali,Hill Station,21.2
Hyderabad,Water Park,11.9
Bangalore,Water Park,27.5
Jaipur,Desert,36.0
Bikaner,Desert,20.7
Hyderabad,Water Park,17.0
Darjeeling,Hill Station,38.1
Goa,Beach,10.1
Mumbai,Beach,37.8
Mumbai,Beach,25.5
Darjeeling,Hill Station,12.1
Manali,Hill Station,15.0
Mumbai,Beach,33.5
Goa,Beach,14.0
Bikaner,Desert,18.5
Bikaner,Desert,17.9
Bangalore,Water Park,36.2
Ooty,Hill Station,19.8
Jaipur,Desert,14.7
Hyderabad,Water Park,26.4
Jaisalmer,Desert,37.7
Shimla,Hill Station,27.5
Darjeeling,Hill Station,34.3
Darjeeling,Hill Station,31.3
Bikaner,Desert,33.2
Puri,Beach,16.1
Jaipur,Desert,15.0
Hyderabad,Water Park,35.3
Manali,Hill Station,26.7
Jaisalmer,Desert,20.4
Kolkata,Water Park,11.1
Kutch,Desert,29.7
Kolkata,Water Park,33.1
Delhi,Water Park,27.1
Kutch,Desert,29.7
Puri,Beach,25.7
Delhi,Water Park,28.7
Jaisalmer,Desert,15.7
Hyderabad,Water Park,15.4
Jaipur,Desert,28.6
Kutch,Desert,35.4
Kutch,Desert,25.0
Kutch,Desert,29.2
Kolkata,Water Park,11.7
Goa,Beach,13.0
Kutch,Desert,23.3
Mumbai,Beach,12.2
Goa,Beach,14.2
Shimla,Hill Station,24.6
Goa,Beach,11.4
Manali,Hill Station,34.6
Kutch,Desert,34.3
Kolkata,Water Park,15.5
Shimla,Hill Station,24.0
Ooty,Hill Station,32.9
Kolkata,Water Park,25.0
Ooty,Hill Station,18.5
Darjeeling,Hill Station,33.6
Mumbai,Beach,34.7
Darjeeling,Hill Station,19.5
Hyderabad,Water Park,27.9
Chennai,Beach,34.8
Shimla,Hill Station,37.8
Bikaner,Desert,28.7
Hyderabad,Water Park,35.5
Kutch,Desert,36.5
Darjeeling,Hill Station,25.3
Jaisalmer,Desert,30.4
Bikaner,Desert,22.5
Bikaner,Desert,28.5
Puri,Beach,29.0
Darjeeling,Hill Station,30.6
Shimla,Hill Station,19.8
Puri,Beach,34.0
Bikaner,Desert,32.9
Jaipur,Desert,33.2
Manali,Hill Station,21.4
Chennai,Beach,32.6
Shimla,Hill Station,27.0
Darjeeling,Hill Station,17.6
Mumbai,Beach,18.5
Shimla,Hill Station,38.7
Mumbai,Beach,36.0
Jaisalmer,Desert,14.2
Bikaner,Desert,10.4
Delhi,Water Park,35.3
Ooty,Hill Station,34.5
Delhi,Water Park,34.1
Manali,Hill Station,37.0
Shimla,Hill Station,23.8
Jaisalmer,Desert,20.2
Jaipur,Desert,25.1
Manali,Hill Station,37.5
Jaipur,Desert,18.1
Shimla,Hill Station,10.6
Jaipur,Desert,28.7
Shimla,Hill Station,23.6
Hyderabad,Water Park,23.7
Shimla,Hill Station,19.0
Puri,Beach,21.9
Kolkata,Water Park,36.1
Hyderabad,Water Park,33.0
Shimla,Hill Station,24.6
Goa,Beach,31.2
Hyderabad,Water Park,38.7
Bangalore,Water Park,30.5
Bikaner,Desert,39.5
Jaipur,Desert,22.9
Hyderabad,Water Park,36.5
Bikaner,Desert,23.4
Chennai,Beach,17.1
Bikaner,Desert,15.9
Puri,Beach,33.4
Bikaner,Desert,34.4
Jaisalmer,Desert,30.5
Jaisalmer,Desert,36.2
Mumbai,Beach,13.0
Goa,Beach,31.9
Darjeeling,Hill Station,26.9
Bikaner,Desert,15.2
Jaisalmer,Desert,18.7
Mumbai,Beach,25.2
Darjeeling,Hill Station,36.0
Bangalore,Water Park,21.1
Puri,Beach,11.6
Kutch,Desert,24.3
Bangalore,Water Park,18.8
Kolkata,Water Park,22.3
Kutch,Desert,35.7
Kutch,Desert,29.9
Hyderabad,Water Park,21.7
Jaisalmer,Desert,22.3
Jaipur,Desert,27.3
Ooty,Hill Station,16.6
Manali,Hill Station,35.3
Manali,Hill Station,13.8
Jaisalmer,Desert,14.9
Manali,Hill Station,21.2
Chennai,Beach,36.2
Shimla,Hill Station,25.4
Jaipur,Desert,21.7
Hyderabad,Water Park,22.2
Kolkata,Water Park,34.6
Delhi,Water Park,28.5
Ooty,Hill Station,13.0
Kolkata,Water Park,12.4
Jaipur,Desert,31.9
Hyderabad,Water Park,34.1
Goa,Beach,39.3
Delhi,Water Park,12.3
Kutch,Desert,34.3
Mumbai,Beach,29.7
Kolkata,Water Park,35.3
Bangalore,Water Park,33.6
Puri,Beach,34.4
Kutch,Desert,10.9
Kutch,Desert,27.2
Hyderabad,Water Park,38.7
Goa,Beach,32.9
Kolkata,Water Park,38.0
Goa,Beach,28.9
Kutch,Desert,17.3
Puri,Beach,37.0
Shimla,Hill Station,20.4
Delhi,Water Park,14.4
Jaipur,Desert,38.9
Mumbai,Beach,24.5
Goa,Beach,39.8
Hyderabad,Water Park,35.0
Darjeeling,Hill Station,30.3
Bikaner,Desert,22.8
Kolkata,Water Park,27.2
Bikaner,Desert,23.1
Shimla,Hill Station,10.0
Bikaner,Desert,36.1
Mumbai,Beach,28.8
Delhi,Water Park,11.5
Jaisalmer,Desert,12.9
Shimla,Hill Station,25.0
Mumbai,Beach,19.5
Delhi,Water Park,35.2
Puri,Beach,28.6
Jaipur,Desert,31.3
Kolkata,Water Park,32.6
Kutch,Desert,38.4
Jaipur,Desert,27.0
Bikaner,Desert,16.7
Darjeeling,Hill Station,15.4
Ooty,Hill Station,31.8
Kutch,Desert,26.1
Mumbai,Beach,30.7
Delhi,Water Park,20.1
Manali,Hill Station,35.2
Hyderabad,Water Park,28.3
Mumbai,Beach,30.8
Kolkata,Water Park,38.7
Puri,Beach,36.3
Mumbai,Beach,37.9
Kolkata,Water Park,20.1
Kolkata,Water Park,16.9
Delhi,Water Park,28.8
Hyderabad,Water Park,16.3
Jaipur,Desert,12.1
Kutch,Desert,37.3
Bangalore,Water Park,13.6
Jaisalmer,Desert,39.6
Hyderabad,Water Park,12.8
Chennai,Beach,16.9
Mumbai,Beach,38.7
Shimla,Hill Station,15.6
Kolkata,Water Park,28.1
Ooty,Hill Station,24.1
Chennai,Beach,34.3
Shimla,Hill Station,25.5
Mumbai,Beach,39.0
Hyderabad,Water Park,39.5
Jaipur,Desert,23.4
Puri,Beach,23.6
Hyderabad,Water Park,23.6
Chennai,Beach,23.0
Puri,Beach,38.8
Kolkata,Water Park,31.5
Bangalore,Water Park,16.5
Delhi,Water Park,35.8
Jaisalmer,Desert,35.6
Chennai,Beach,15.0
Hyderabad,Water Park,21.6
Bikaner,Desert,21.4
Goa,Beach,27.9
Delhi,Water Park,39.5
Jaisalmer,Desert,25.2
Delhi,Water Park,34.1
Bangalore,Water Park,21.6
Mumbai,Beach,37.2
Hyderabad,Water Park,17.2
Chennai,Beach,14.0
Goa,Beach,33.5
Manali,Hill Station,39.8
Ooty,Hill Station,24.0
Mumbai,Beach,36.5
Goa,Beach,39.6
Shimla,Hill Station,23.4
Puri,Beach,24.7
Bikaner,Desert,38.6
Jaipur,Desert,24.9
Goa,Beach,16.2
Mumbai,Beach,11.0
Manali,Hill Station,28.4
Kutch,Desert,38.5
Jaipur,Desert,10.3
Ooty,Hill Station,16.2
Darjeeling,Hill Station,23.8
Jaipur,Desert,13.2
Darjeeling,Hill Station,20.5
Jaisalmer,Desert,31.5
Shimla,Hill Station,18.0
Puri,Beach,30.3
Darjeeling,Hill Station,25.2
Ooty,Hill Station,27.0
Mumbai,Beach,13.6
Puri,Beach,11.7
Shimla,Hill Station,12.6
Bikaner,Desert,23.0
Bangalore,Water Park,24.3
Kolkata,Water Park,26.7
Mumbai,Beach,20.4
Jaipur,Desert,26.1
Jaisalmer,Desert,23.7
Puri,Beach,27.1
Ooty,Hill Station,23.5
Hyderabad,Water Park,36.0
Puri,Beach,17.7
Hyderabad,Water Park,33.3
Manali,Hill Station,14.5
Hyderabad,Water Park,10.4
Manali,Hill Station,35.6
Manali,Hill Station,31.4
Hyderabad,Water Park,29.0
Kolkata,Water Park,17.1
Kutch,Desert,13.1
Kolkata,Water Park,20.4
Puri,Beach,31.7
Kutch,Desert,26.5
Delhi,Water Park,21.4
Darjeeling,Hill Station,28.5
Shimla,Hill Station,22.2
Kolkata,Water Park,15.5
Delhi,Water Park,19.1
Shimla,Hill Station,25.5
Kutch,Desert,20.3
Kutch,Desert,32.3
Goa,Beach,27.1
Bangalore,Water Park,30.8
Bikaner,Desert,19.7
Hyderabad,Water Park,38.8
Bangalore,Water Park,14.6
Bangalore,Water Park,27.0
Delhi,Water Park,32.5
Darjeeling,Hill Station,39.3
Manali,Hill Station,37.8
Darjeeling,Hill Station,16.0
Mumbai,Beach,31.9
Jaipur,Desert,13.5
Kutch,Desert,19.5
Chennai,Beach,32.1
Hyderabad,Water Park,19.3
Manali,Hill Station,13.6
Goa,Beach,22.6
Chennai,Beach,14.6
Kutch,Desert,10.7
Jaisalmer,Desert,12.3
Jaisalmer,Desert,13.4
Darjeeling,Hill Station,22.2
Puri,Beach,20.6
Hyderabad,Water Park,28.2
Goa,Beach,20.2
Bikaner,Desert,35.4
Ooty,Hill Station,10.0
Ooty,Hill Station,36.3
Kolkata,Water Park,29.3
Kolkata,Water Park,40.0
Kolkata,Water Park,31.9
Delhi,Water Park,32.7
Jaipur,Desert,34.5
Bangalore,Water Park,27.5
Shimla,Hill Station,17.1
Goa,Beach,29.3
Puri,Beach,10.7
Hyderabad,Water Park,38.6
Bangalore,Water Park,16.7
Manali,Hill Station,33.5
Jaisalmer,Desert,23.1
Goa,Beach,19.9
Bangalore,Water Park,15.8
Puri,Beach,34.5
Jaipur,Desert,32.3
Hyderabad,Water Park,16.3
Goa,Beach,25.9
Jaipur,Desert,38.0
Jaisalmer,Desert,39.4
Ooty,Hill Station,25.1
Kutch,Desert,38.7
Hyderabad,Water Park,11.3
Jaipur,Desert,34.2
Manali,Hill Station,32.7
Kolkata,Water Park,36.1
Manali,Hill Station,38.9
Darjeeling,Hill Station,12.8
Jaipur,Desert,12.6
Shimla,Hill Station,12.6
Kolkata,Water Park,23.4
Delhi,Water Park,24.1
Puri,Beach,17.0
Hyderabad,Water Park,28.4
Chennai,Beach,13.8
Hyderabad,Water Park,25.1
Goa,Beach,30.1
Shimla,Hill Station,28.0
Puri,Beach,36.8
Kolkata,Water Park,33.2
Delhi,Water Park,35.7
Kolkata,Water Park,40.0
Kolkata,Water Park,38.9
Ooty,Hill Station,29.7
Chennai,Beach,19.8
Goa,Beach,31.5
Jaisalmer,Desert,33.6
Ooty,Hill Station,10.5
Bangalore,Water Park,18.7
Kolkata,Water Park,38.8
Ooty,Hill Station,28.3
Bikaner,Desert,24.7
Puri,Beach,12.7
Darjeeling,Hill Station,27.8
Mumbai,Beach,34.9
Delhi,Water Park,36.8
Hyderabad,Water Park,16.6
Goa,Beach,39.9
Shimla,Hill Station,19.8
Ooty,Hill Station,38.1
Goa,Beach,17.2
Kolkata,Water Park,27.5
Bangalore,Water Park,14.5
Shimla,Hill Station,18.2
Darjeeling,Hill Station,33.5
Bikaner,Desert,26.5
Goa,Beach,30.9
Darjeeling,Hill Station,31.3
Jaisalmer,Desert,29.7
Kutch,Desert,15.4
Hyderabad,Water Park,37.0
Ooty,Hill Station,14.5
Mumbai,Beach,30.1
Bikaner,Desert,12.2
Chennai,Beach,15.8
Puri,Beach,12.7
Ooty,Hill Station,31.4
Kolkata,Water Park,31.1
Mumbai,Beach,35.3
Bangalore,Water Park,12.9
Jaisalmer,Desert,27.0
Shimla,Hill Station,20.2
Puri,Beach,33.4
Chennai,Beach,36.6
Delhi,Water Park,23.3
Goa,Beach,24.0
Delhi,Water Park,31.3
Chennai,Beach,25.4
Puri,Beach,10.2
Ooty,Hill Station,27.6
Bangalore,Water Park,36.7
Jaisalmer,Desert,17.6
Manali,Hill Station,15.0
Bikaner,Desert,27.3
Chennai,Beach,11.1
Puri,Beach,22.4
Darjeeling,Hill Station,15.9
Bikaner,Desert,36.6
Bangalore,Water Park,10.2
Bikaner,Desert,24.1
Ooty,Hill Station,14.9
Puri,Beach,31.0
Mumbai,Beach,26.6
Ooty,Hill Station,19.5
Chennai,Beach,17.0
Bikaner,Desert,24.9
Jaipur,Desert,26.7
Kolkata,Water Park,37.2
Ooty,Hill Station,39.0
Darjeeling,Hill Station,30.9
Darjeeling,Hill Station,26.7
Jaisalmer,Desert,27.7
Goa,Beach,22.2
Kutch,Desert,36.9
Bikaner,Desert,26.3
Chennai,Beach,36.0
Ooty,Hill Station,13.7
Bikaner,Desert,34.0
Puri,Beach,34.4
Manali,Hill Station,31.0
Jaisalmer,Desert,35.0
Kolkata,Water Park,18.1
Goa,Beach,29.8
Bikaner,Desert,14.8
Shimla,Hill Station,32.8
Puri,Beach,13.9
Manali,Hill Station,24.3
Kolkata,Water Park,25.8
Kutch,Desert,32.9
Kolkata,Water Park,19.6
Kutch,Desert,38.3
Delhi,Water Park,29.8
Bikaner,Desert,19.3
Jaisalmer,Desert,38.4
Mumbai,Beach,14.6
Jaipur,Desert,37.6
Mumbai,Beach,32.8
Chennai,Beach,13.2
Shimla,Hill Station,29.6
Puri,Beach,36.4
Chennai,Beach,35.9
